valorN, tempoDemorado, quatidadePercorrida
1,0.0,1
2,0.0,1
3,0.0,3
4,0.0,5
5,0.0,9
6,0.0,15
7,0.0,25
8,0.0,41
9,0.0,67
10,0.0,109
11,0.0,177
12,0.0,287
13,0.0,465
14,0.0,753
15,0.0,1219
16,0.0010004043579101562,1973
17,0.0,3193
18,0.0011103153228759766,5167
19,0.003100156784057617,8361
20,0.0010101795196533203,13529
21,0.001990795135498047,21891
22,0.00401759147644043,35421
23,0.005980253219604492,57313
24,0.008999347686767578,92735
25,0.015001058578491211,150049
26,0.02399897575378418,242785
27,0.039022207260131836,392835
28,0.061678171157836914,635621
29,0.10000205039978027,1028457
30,0.16610097885131836,1664079
31,0.2682530879974365,2692537
32,0.43547987937927246,4356617
33,0.7015247344970703,7049155
34,1.1458096504211426,11405773
35,1.834174394607544,18454929
36,2.9554800987243652,29860703
37,5.086268901824951,48315633
38,7.987785577774048,78176337
39,13.045812129974365,126491971
40,21.26214599609375,204668309
41,33.884246587753296,331160281
42,55.61732292175293,535828591
43,89.20279884338379,866988873
44,147.33940410614014,1402817465
45,240.88408994674683,2269806339
46,397.39988017082214,3672623805
47,644.6728374958038,5942430145
48,1182.7894802093506,9615053951
